SN,BOOK TITLE,AUTHOR,ISBN NUMBER,COVER PAGE,GENRE,PUBLICATION DATE,PUBLISHER
1,The untold story : Gusii Survival Techniques and resistance to the Establishment of British colonial rule,by John S. Akama,978-9966109576,http://books.google.com/books/content?id=iRosxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,history,"August 6, 2019",Nsemia Inc
2,Strategy for winning in highschool,by Emmanuel Gisesa,,http://books.google.com/books/content?id=VKplzQGxGw0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Law,1969,
3,Little white man,by Meja Mwangi,9789966490575,,Friendship,"February 17, 2017",Longhorn Publishers and Worldreader
4,Mtaka yote hukosa yote,by L O Omolo,9780865436596,http://books.google.com/books/content?id=Kbv-xbkF0GgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Literary Criticism,1998,Africa World Press
5,Kufa Kuzikana,by Ken Walibora,,http://books.google.com/books/content?id=rt0ByiFwyLAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Kenya,1998,
6,The New moon,by Stephanie MEYER,9780761363705,http://books.google.com/books/content?id=ezO5jgwQJIoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Young Adult Nonfiction,2010-08-01,Twenty-First Century Books
7,THE ROUTLEDGE ANTHOLOGY OF POETS ON POETS,BY DAVID HOPKINS,9781134814848,http://books.google.com/books/content?id=j6OHAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Language Arts & Disciplines,2003-09-02,Routledge
8,HISTORY OF THE TWENTIETH CENTURY,BY MARTIN GILBERT,9780795337321,http://books.google.com/books/content?id=F-waDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2014-06-05,Rosetta Books
9,DELTA NIGERIA THE RAPE OF PARADISE,BY GEORGE OSODI,9781000779875,http://books.google.com/books/content?id=8CKIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Nature,2022-11-16,Taylor & Francis
10,GENERAL PRINCIPLES AND COMMERCIAL LAW OF KENYA,BY ASHIQ HUSSAIN,9789966461094,http://books.google.com/books/content?id=x01FY88hH0gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Commercial law,1993,East African Publishers
11,BASIC CONCEPTS OF MICROECONOMICS WITH REFERENCE TO KENYA,BY C. AKELLO-OGUTU & JOHN J. WAELTI,,http://books.google.com/books/content?id=PLYPAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Africa,1993,
12,Make money on the stock exchange,"by Robert Leach , ACC",9781897597279,http://books.google.com/books/content?id=m6LoAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,2004,Harriman House Limited
13,IMMUNOLOGY SECOND EDITION,BY IVAN ROITT. JONATHAN BROSTOFF. DAVID MALE,9780702050282,http://books.google.com/books/content?id=5utUGzGBeC4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Medical,2012-08-27,Elsevier Health Sciences
14,VETERINARY EPIDEMIOLOGY PRINCIPLES AND METHODS,BY. S. WAYNE MARTIN ALAN H. MEEK PREBEN WILLEBERG,9780813818566,http://books.google.com/books/content?id=m3ygQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Technology & Engineering,1987,Iowa State Press
15,LARGE ANIMAL SURGERY,BY FREDERICK W. OEHME JAMES E. PRIER,,http://books.google.com/books/content?id=yMMtAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Veterinary medicine,1911,
16,BOVINE MEDICINE & SURGERY,BY GIBBONS . CATCOTT. SMITHCORNS,9781444336436,http://books.google.com/books/content?id=K6mlCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Medical,2015-06-02,John Wiley & Sons
17,EDEXCEL A2 PSYCHOLOGY CHRISTIAN BRAIN,BY PHILIP ALLAN,,,,,
18,PHYSICS FOR OCR 2,BY GURINDE CHADHA DAVID SANG,,http://books.google.com/books/content?id=iydFAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Bibliography, National",2009,
19,AN INTRODUCTION TO THE PHILOSOPHY OF RELIGION,BY BRIAN DAVIES,,http://books.google.com/books/content?id=3AfXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Language Arts & Disciplines,1993,"Oxford University Press, USA"
20,HINDU WORSHIP,BY J. MAYLED,,http://books.google.com/books/content?id=DdhLAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Great Britain,1986,
